Фамилия;Имя;Номер тел;Почта
Зотова;Милана;89214562354;yujkdl@mail.ru
Королев;Александр;89456548954;ewf@mail.ru
Березин;Ярослав;8924123755;ouhnvpok@mail.ru
Крюкова;Александра;89453219515;p9oklfe@mail.ru
Шаповалова;Мария;89326546545;ijhrjgvkikp@mail.ru
Ермаков;Фёдор;89568791232;908904@mail.ru
Алексеев;Даниил;89593218596;poihj@mail.ru
Шувалов;Роман;89124517458;ouiv@mail.ru
Сорокина;Мария;89419514523;kswlfn@mail.ru
Иванова;Амалия;89327531256;laehi@mail.ru
Никитина;Елизавета;89454239854;jhdposr@mail.ru
Филиппов;Пётр;89886543214;llsdvllsvd@mail.ru
Майоров;Максим;89989331113;mkvm@mail.ru
Васильев;Александр;89122118796;nklnsdv@mail.ru
